Sno.	Question (100 words)	Answer (Max 2000 words)	Question Category (Refer Sheet 2)	Applicable to Pathways	Pathway Stage	Source of Data (Preferable URL)	Actual Excerpt from the Source Data	Hospitals Applicable	Date	Author Name	Reviewed By	Expiry Date
615	Who can I talk to if I have questions about my pathology report?	You can speak to your treatment team, call the helpline on 0808 800 6000, join the online forum, or use the Someone Like Me service for support and answers to your questions.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Speak to your treatment team... Helpline... Forum... Someone Like Me	All	2025-12-11	Healthcare AI Team		
616	What support is available while waiting for my pathology results?	There is a lot to take in when you get your pathology results back. Support is available through your treatment team, helpline, online forum, and the Someone Like Me service to help you through this worrying time.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	There can be a lot to take in when you get your pathology results back, and waiting for them can be a worrying time. But there's support available to help you.	All	2025-12-11	Healthcare AI Team		
617	How can I get more information about breast cancer?	You can visit breastcancernow.org for reliable breast cancer information, call the helpline on 0808 800 6000 to talk with specialist nurses, or email health-info@breastcancernow.org for additional resources.	ADMIN_LOGISTICS	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Visit breastcancernow.org for reliable breast cancer information. Call 0808 800 6000 to talk things through with our helpline nurses.	All	2025-12-11	Healthcare AI Team		
618	What should I do if I don’t understand something in my pathology report?	If there’s anything in your pathology report that you do not understand, ask your treatment team to explain it to you. They are there to help clarify any confusion you may have.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	If there’s anything in your pathology report that you do not understand, ask them to explain it to you.	All	2025-12-11	Healthcare AI Team		
619	What are the contact details for Breast Cancer Now’s support services?	You can call the helpline on 0808 800 6000, visit breastcancernow.org, or email health-info@breastcancernow.org for support services and additional information.	ADMIN_LOGISTICS	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Call our helpline on 0808 800 6000... Visit breastcancernow.org... Email health-info@breastcancernow.org	All	2025-12-11	Healthcare AI Team		
620	How can I find someone who has had a similar experience to mine?	The Someone Like Me service will match you with a trained volunteer who’s had a similar experience to you. They can answer your questions, offer support, or simply listen.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	If you’ve been diagnosed with primary breast cancer, our Someone Like Me service will match you with a trained volunteer who’s had a similar experience to you.	All	2025-12-11	Healthcare AI Team		
621	What does it mean if my doctor says there is 'no evidence of disease'?	When your doctor says there is 'no evidence of disease,' it means that after your treatment, no signs of breast cancer are currently detectable. However, this does not guarantee that the cancer won't return. It's important to continue monitoring for any new symptoms and attend follow-up appointments as advised.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc169-after-breast-cancer-what-now-2025-web.pdf	The term “cured” means there’s no chance of the breast cancer coming back. While most people’s cancer won’t come back, your treatment team may not use words like “cured” or “all clear”. They’re more likely to talk about your percentage chance of surviving 5 or 10 years and beyond. Or say there is “no evidence of disease” at the time.	All	2025-12-11	Healthcare AI Team		
622	How will I be followed up after my breast cancer treatment ends?	Your follow-up care will depend on your individual needs and the hospital's arrangements. You may have regular mammograms and possibly clinic appointments. Some patients may have open access follow-up, where they can contact their treatment team if they have concerns. Your treatment team will provide details on who to contact and what symptoms to report.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcc169-after-breast-cancer-what-now-2025-web.pdf	How you’re followed up after treatment finishes depends on your individual needs, such as how likely you are to have side effects from treatment and the risk of the cancer coming back. It also depends on the arrangements at the hospital where you’ve been treated.	All	2025-12-11	Healthcare AI Team		
623	What should I do if I notice new or unusual symptoms after treatment?	If you experience new or unusual symptoms, especially those that don't have an obvious cause or don't go away, it's important to contact your GP or breast care nurse. They can assess whether these symptoms need further investigation. Being vigilant about your health can help in early detection of any potential recurrence.	SYMPTOMS	Breast Cancer	All Stages	bcc169-after-breast-cancer-what-now-2025-web.pdf	Talk to your GP or breast care nurse about any symptoms that are: • New or unusual for you • Don’t have an obvious cause • Don’t go away	All	2025-12-11	Healthcare AI Team		
624	Will I need regular mammograms after my treatment?	Yes, you will likely need regular mammograms after your treatment. The frequency and duration of these mammograms depend on your age and the type of surgery you had. For instance, if you're under 50, you'll have a follow-up mammogram every year for at least 5 years. If you're aged 50 to 70, you'll have a yearly mammogram for 5 years, and if you're over 70, you can request a mammogram every 3 years.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc169-after-breast-cancer-what-now-2025-web.pdf	After your treatment, you’ll be invited to have regular mammograms (breast x-rays). If you’re under 50 You’ll have a follow-up mammogram every year for at least 5 years.	All	2025-12-11	Healthcare AI Team		
625	What is a holistic needs assessment and why is it important?	A holistic needs assessment (HNA) is a comprehensive evaluation of your physical, social, psychological, and spiritual needs. It helps identify any support or solutions you might need to improve your quality of life after treatment. This assessment is crucial as it ensures that all aspects of your well-being are considered and addressed.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcc169-after-breast-cancer-what-now-2025-web.pdf	A holistic needs assessment (HNA) helps you think about your needs and concerns across all areas of your life and find support and possible solutions. It will consider your physical, social, psychological and spiritual needs.	All	2025-12-11	Healthcare AI Team		
626	What is included in a treatment summary?	A treatment summary is a document produced by your hospital team at the end of your treatment. It includes information about side effects (both during and after treatment), signs and symptoms of possible recurrence or spread of the cancer, and any actions your GP needs to take. You may also receive a copy of this summary.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcc169-after-breast-cancer-what-now-2025-web.pdf	The treatment summary includes information about: • Side effects, including those that occur during treatment and after treatment (known as late side effects) • Signs and symptoms of a possible recurrence or spread of the cancer • Symptoms that should be referred to your treatment team • Any action the GP needs to take	All	2025-12-11	Healthcare AI Team		
627	What is a Cancer Care Review and who conducts it?	A Cancer Care Review is a meeting with your GP or practice nurse within 12 months of your treatment. The purpose is to review any concerns you have and to help you understand what information and support is available in your local area. If you haven’t been offered a review and would like one, you should contact your GP.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcc169-after-breast-cancer-what-now-2025-web.pdf	A Cancer Care Review is a meeting with your GP or practice nurse within 12 months of having treatment. The purpose is to review any concerns you have and to help you understand what information and support is available in your local area.	All	2025-12-11	Healthcare AI Team		
